feature,importance,display_name
CR_demand,0.6679541623330941,냉연강판 수요량
month_diff,0.4448264342992775,월(전월 대비 증감)
CR_inv_diff,0.19972737925891715,냉연강판 재고량(전월 대비 증감)
CR_prod_lag2,0.17563955492919675,냉연강판 생산량(2개월 전)
appliance_prod_idx_lag1,0.06829890799701546,가전 생산지수(1개월 전)
G_demand,0.06740161031332265,아연도강판 수요량
CR_prod,0.037751694634662145,냉연강판 생산량
leading_idx_diff,0.03637184890771771,경기선행지수(전월 대비 증감)
month_lag2,0.027954273437344003,월(2개월 전)
appliance_prod_idx,0.02740921846306031,가전 생산지수
appliance_prod_idx_lag2,0.021398358951360077,가전 생산지수(2개월 전)
usdkrw_avg_diff,0.018888741295608562,원/달러 평균 환율(전월 대비 증감)
usdkrw_avg,0.009308720001209254,원/달러 평균 환율
