date,HR_prod,HR_demand,HR_inv,CR_prod,CR_demand,CR_inv,G_prod,G_demand,G_inv,auto_prod,auto_domestic_ship,auto_export_ship,construction_order_amt,appliance_prod_idx,appliance_ship_idx,usdkrw_avg,leading_idx,gov_bond_3y_avg,iron_ore_price,steel_capacity_idx,steel_operating_rate,month,HR_prod_lag1,HR_prod_lag2,HR_prod_diff,HR_demand_lag1,HR_demand_lag2,HR_demand_diff,HR_inv_lag1,HR_inv_lag2,HR_inv_diff,CR_prod_lag1,CR_prod_lag2,CR_prod_diff,CR_demand_lag1,CR_demand_lag2,CR_demand_diff,CR_inv_lag1,CR_inv_lag2,CR_inv_diff,G_prod_lag1,G_prod_lag2,G_prod_diff,G_demand_lag1,G_demand_lag2,G_demand_diff,G_inv_lag1,G_inv_lag2,G_inv_diff,auto_prod_lag1,auto_prod_lag2,auto_prod_diff,auto_domestic_ship_lag1,auto_domestic_ship_lag2,auto_domestic_ship_diff,auto_export_ship_lag1,auto_export_ship_lag2,auto_export_ship_diff,construction_order_amt_lag1,construction_order_amt_lag2,construction_order_amt_diff,appliance_prod_idx_lag1,appliance_prod_idx_lag2,appliance_prod_idx_diff,appliance_ship_idx_lag1,appliance_ship_idx_lag2,appliance_ship_idx_diff,usdkrw_avg_lag1,usdkrw_avg_lag2,usdkrw_avg_diff,leading_idx_lag1,leading_idx_lag2,leading_idx_diff,gov_bond_3y_avg_lag1,gov_bond_3y_avg_lag2,gov_bond_3y_avg_diff,iron_ore_price_lag1,iron_ore_price_lag2,iron_ore_price_diff,steel_capacity_idx_lag1,steel_capacity_idx_lag2,steel_capacity_idx_diff,steel_operating_rate_lag1,steel_operating_rate_lag2,steel_operating_rate_diff,month_lag1,month_lag2,month_diff,HR_demand_ma3,CR_demand_ma3,G_demand_ma3,HR_prod_ma3,CR_prod_ma3,G_prod_ma3,construction_order_amt_diff_shock90,G_inv_diff_shock90,usdkrw_avg_diff_shock90,CR_inv_diff_shock90,gov_bond_3y_avg_diff_shock90,leading_idx_diff_shock90,steel_operating_rate_diff_shock90,steel_capacity_idx_diff_shock90,appliance_ship_idx_diff_shock90,G_prod_diff_shock90,CR_prod_diff_shock90,CR_demand_diff_shock90,appliance_prod_idx_diff_shock90,G_demand_diff_shock90,month_diff_shock90,iron_ore_price_diff_shock90,auto_export_ship_diff_shock90,auto_domestic_ship_diff_shock90,auto_prod_diff_shock90,is_month_1,is_month_12
2017-01-01,,,,764,753,220,878,854,348,298042,106910,178371,10981035,91.32,87.842,1182.24,90.1,1.64,80.82,101.106,113.167,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2017-02-01,,,,737,744,218,819,820,344,336032,120621,200236,14722222,91.141,89.086,1143.36,90.5,1.67,88.95,101.106,111.061,2,,,,,,,,,,764.0,,-27.0,753.0,,-9.0,220.0,,-2.0,878.0,,-59.0,854.0,,-34.0,348.0,,-4.0,298042.0,,37990.0,106910.0,,13711.0,178371.0,,21865.0,10981035.0,,3741187.0,91.32,,-0.17899999999998784,87.842,,1.2439999999999998,1182.24,,-38.88000000000011,90.1,,0.4000000000000057,1.64,,0.030000000000000027,80.82,,8.13000000000001,101.106,,0.0,113.167,,-2.1059999999999945,1.0,,1.0,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-01,,,,759,752,221,839,860,320,406897,146920,249565,8422517,90.371,84.285,1133.95,90.9,1.71,87.2,101.206,110.361,3,,,,,,,,,,737.0,764.0,22.0,744.0,753.0,8.0,218.0,220.0,3.0,819.0,878.0,20.0,820.0,854.0,40.0,344.0,348.0,-24.0,336032.0,298042.0,70865.0,120621.0,106910.0,26299.0,200236.0,178371.0,49329.0,14722222.0,10981035.0,-6299705.0,91.141,91.32,-0.7700000000000102,89.086,87.842,-4.801000000000002,1143.36,1182.24,-9.409999999999854,90.5,90.1,0.4000000000000057,1.67,1.64,0.040000000000000036,88.95,80.82,-1.75,101.106,101.106,0.10000000000000853,111.061,113.167,-0.7000000000000028,2.0,1.0,1.0,,749.6666666666666,844.6666666666666,,753.3333333333334,845.3333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-01,,,,750,762,207,805,806,317,382566,133527,239393,16246983,89.81,84.641,1133.57,91.3,1.68,70.4,101.206,110.933,4,,,,,,,,,,759.0,737.0,-9.0,752.0,744.0,10.0,221.0,218.0,-14.0,839.0,819.0,-34.0,860.0,820.0,-54.0,320.0,344.0,-3.0,406897.0,336032.0,-24331.0,146920.0,120621.0,-13393.0,249565.0,200236.0,-10172.0,8422517.0,14722222.0,7824466.0,90.371,91.141,-0.5609999999999928,84.285,89.086,0.35600000000000875,1133.95,1143.36,-0.38000000000010914,90.9,90.5,0.3999999999999915,1.71,1.67,-0.030000000000000027,87.2,88.95,-16.799999999999997,101.206,101.106,0.0,110.361,111.061,0.5720000000000027,3.0,2.0,1.0,,752.6666666666666,828.6666666666666,,748.6666666666666,821.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017-05-01,,,,707,713,198,871,857,327,356204,136355,216670,12810824,90.484,84.285,1124.65,91.7,1.7,61.63,101.206,111.202,5,,,,,,,,,,750.0,759.0,-43.0,762.0,752.0,-49.0,207.0,221.0,-9.0,805.0,839.0,66.0,806.0,860.0,51.0,317.0,320.0,10.0,382566.0,406897.0,-26362.0,133527.0,146920.0,2828.0,239393.0,249565.0,-22723.0,16246983.0,8422517.0,-3436159.0,89.81,90.371,0.6739999999999924,84.641,84.285,-0.35600000000000875,1133.57,1133.95,-8.919999999999845,91.3,90.9,0.4000000000000057,1.68,1.71,0.020000000000000018,70.4,87.2,-8.770000000000003,101.206,101.206,0.0,110.933,110.361,0.26899999999999125,4.0,3.0,1.0,,742.3333333333334,841.0,,738.6666666666666,838.3333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-01,,,,700,674,221,883,856,352,382807,140964,237155,10974531,88.822,85.441,1131.62,92.1,1.67,57.86,101.106,111.454,6,,,,,,,,,,707.0,750.0,-7.0,713.0,762.0,-39.0,198.0,207.0,23.0,871.0,805.0,12.0,857.0,806.0,-1.0,327.0,317.0,25.0,356204.0,382566.0,26603.0,136355.0,133527.0,4609.0,216670.0,239393.0,20485.0,12810824.0,16246983.0,-1836293.0,90.484,89.81,-1.661999999999992,84.285,84.641,1.156000000000006,1124.65,1133.57,6.9699999999998,91.7,91.3,0.3999999999999915,1.7,1.68,-0.030000000000000027,61.63,70.4,-3.770000000000003,101.206,101.206,-0.10000000000000853,111.202,110.933,0.25199999999999534,5.0,4.0,1.0,,716.3333333333334,839.6666666666666,,719.0,853.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01,,,,721,704,237,910,896,362,371423,131512,224644,9898773,84.279,87.486,1133.13,92.4,1.74,66.74,101.106,110.653,7,,,,,,,,,,700.0,707.0,21.0,674.0,713.0,30.0,221.0,198.0,16.0,883.0,871.0,27.0,856.0,857.0,40.0,352.0,327.0,10.0,382807.0,356204.0,-11384.0,140964.0,136355.0,-9452.0,237155.0,216670.0,-12511.0,10974531.0,12810824.0,-1075758.0,88.822,90.484,-4.543000000000006,85.441,84.285,2.0450000000000017,1131.62,1124.65,1.5100000000002183,92.1,91.7,0.30000000000001137,1.67,1.7,0.07000000000000006,57.86,61.63,8.879999999999995,101.106,101.206,0.0,111.454,111.202,-0.8009999999999877,6.0,5.0,1.0,,697.0,869.6666666666666,,709.3333333333334,888.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-01,,,,699,700,233,911,845,425,274168,121560,171231,13607659,94.379,89.709,1131.4,92.8,1.78,74.59,101.106,112.872,8,,,,,,,,,,721.0,700.0,-22.0,704.0,674.0,-4.0,237.0,221.0,-4.0,910.0,883.0,1.0,896.0,856.0,-51.0,362.0,352.0,63.0,371423.0,382807.0,-97255.0,131512.0,140964.0,-9952.0,224644.0,237155.0,-53413.0,9898773.0,10974531.0,3708886.0,84.279,88.822,10.100000000000009,87.486,85.441,2.222999999999999,1133.13,1131.62,-1.7300000000000182,92.4,92.1,0.3999999999999915,1.74,1.67,0.040000000000000036,66.74,57.86,7.8500000000000085,101.106,101.106,0.0,110.653,111.454,2.218999999999994,7.0,6.0,1.0,,692.6666666666666,865.6666666666666,,706.6666666666666,901.3333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017-09-01,,,,698,691,239,811,854,377,356749,134284,225363,10781612,92.925,86.775,1132.93,92.9,1.79,69.24,101.106,112.331,9,,,,,,,,,,699.0,721.0,-1.0,700.0,704.0,-9.0,233.0,237.0,6.0,911.0,910.0,-100.0,845.0,896.0,9.0,425.0,362.0,-48.0,274168.0,371423.0,82581.0,121560.0,131512.0,12724.0,171231.0,224644.0,54132.0,13607659.0,9898773.0,-2826047.0,94.379,84.279,-1.4540000000000077,89.709,87.486,-2.9339999999999975,1131.4,1133.13,1.5299999999999727,92.8,92.4,0.10000000000000853,1.78,1.74,0.010000000000000009,74.59,66.74,-5.3500000000000085,101.106,101.106,0.0,112.872,110.653,-0.5409999999999968,8.0,7.0,1.0,,698.3333333333334,865.0,,706.0,877.3333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,,,,621,627,231,926,844,454,280680,113378,174011,12718684,95.013,85.886,1129.48,93.2,2.03,61.05,101.106,114.672,10,,,,,,,,,,698.0,699.0,-77.0,691.0,700.0,-64.0,239.0,233.0,-8.0,811.0,911.0,115.0,854.0,845.0,-10.0,377.0,425.0,77.0,356749.0,274168.0,-76069.0,134284.0,121560.0,-20906.0,225363.0,171231.0,-51352.0,10781612.0,13607659.0,1937072.0,92.925,94.379,2.088000000000008,86.775,89.709,-0.88900000000001,1132.93,1131.4,-3.4500000000000455,92.9,92.8,0.29999999999999716,1.79,1.78,0.23999999999999977,69.24,74.59,-8.189999999999998,101.106,101.106,0.0,112.331,112.872,2.340999999999994,9.0,8.0,1.0,,672.6666666666666,847.6666666666666,,672.6666666666666,882.6666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
