date,CR_prod,CR_inv,CR_demand,G_prod,G_inv,G_demand,iron_ore_price,steel_operating_rate,steel_capacity_idx,auto_prod,auto_domestic_ship,auto_export_ship,appliance_prod_idx,appliance_ship_idx,construction_order_amt,usdkrw_avg,leading_idx,gov_bond_3y_avg,CR_prod_lag1,CR_prod_lag2,CR_inv_lag1,CR_inv_lag2,CR_demand_lag1,CR_demand_lag2,G_prod_lag1,G_prod_lag2,G_inv_lag1,G_inv_lag2,G_demand_lag1,G_demand_lag2,iron_ore_price_lag1,iron_ore_price_lag2,steel_operating_rate_lag1,steel_operating_rate_lag2,steel_capacity_idx_lag1,steel_capacity_idx_lag2,auto_prod_lag1,auto_prod_lag2,auto_domestic_ship_lag1,auto_domestic_ship_lag2,auto_export_ship_lag1,auto_export_ship_lag2,appliance_prod_idx_lag1,appliance_prod_idx_lag2,appliance_ship_idx_lag1,appliance_ship_idx_lag2,construction_order_amt_lag1,construction_order_amt_lag2,usdkrw_avg_lag1,usdkrw_avg_lag2,leading_idx_lag1,leading_idx_lag2,gov_bond_3y_avg_lag1,gov_bond_3y_avg_lag2,construction_order_amt_lag3,construction_order_amt_lag6,CR_demand_ma3,CR_demand_std3,construction_order_amt_pct,auto_prod_pct,CR_prod_pct,covid_dummy,posco_flood_dummy,month,target_month,target
2017-07-01,721,237,704,910,362,896,66.74,110.653,101.106,371423,131512,224644,84.279,87.486,9898773,1133.13,92.4,1.74,700.0,707.0,221.0,198.0,674.0,713.0,883.0,871.0,352.0,327.0,856.0,857.0,57.86,61.63,111.454,111.202,101.106,101.206,382807.0,356204.0,140964.0,136355.0,237155.0,216670.0,88.822,90.484,85.441,84.285,10974531.0,12810824.0,1131.62,1124.65,92.1,91.7,1.67,1.7,16246983.0,10981035.0,697.0,20.420577856662238,-9.802314103445509,-2.973822317773711,3.0000000000000027,0,0,7,8,-0.5681818181818232
2017-08-01,699,233,700,911,425,845,74.59,112.872,101.106,274168,121560,171231,94.379,89.709,13607659,1131.4,92.8,1.78,721.0,700.0,237.0,221.0,704.0,674.0,910.0,883.0,362.0,352.0,896.0,856.0,66.74,57.86,110.653,111.454,101.106,101.106,371423.0,382807.0,131512.0,140964.0,224644.0,237155.0,84.279,88.822,87.486,85.441,9898773.0,10974531.0,1133.13,1131.62,92.4,92.1,1.74,1.67,12810824.0,14722222.0,692.6666666666666,16.289055630494286,37.468138727900914,-26.184431228006876,-3.051317614424409,0,0,8,9,-1.28571428571429
2017-09-01,698,239,691,811,377,854,69.24,112.331,101.106,356749,134284,225363,92.925,86.775,10781612,1132.93,92.9,1.79,699.0,721.0,233.0,237.0,700.0,704.0,911.0,910.0,425.0,362.0,845.0,896.0,74.59,66.74,112.872,110.653,101.106,101.106,274168.0,371423.0,121560.0,131512.0,171231.0,224644.0,94.379,84.279,89.709,87.486,13607659.0,9898773.0,1131.4,1133.13,92.8,92.4,1.78,1.74,10974531.0,8422517.0,698.3333333333334,6.658328118479772,-20.76806157473523,30.12058300020426,-0.14306151645206988,0,0,9,10,-9.261939218523874
2017-10-01,621,231,627,926,454,844,61.05,114.672,101.106,280680,113378,174011,95.013,85.886,12718684,1129.48,93.2,2.03,698.0,699.0,239.0,233.0,691.0,700.0,811.0,911.0,377.0,425.0,854.0,845.0,69.24,74.59,112.331,112.872,101.106,101.106,356749.0,274168.0,134284.0,121560.0,225363.0,171231.0,92.925,94.379,86.775,89.709,10781612.0,13607659.0,1132.93,1131.4,92.9,92.8,1.79,1.78,9898773.0,16246983.0,672.6666666666666,39.80368492154134,17.966441381863852,-21.322834822241965,-11.031518624641834,0,0,10,11,-3.6682615629984094
2017-11-01,592,217,604,791,396,845,63.41,109.846,101.106,382034,141073,234619,90.531,90.153,10372517,1102.82,93.4,2.15,621.0,698.0,231.0,239.0,627.0,691.0,926.0,811.0,454.0,377.0,844.0,854.0,61.05,69.24,114.672,112.331,101.106,101.106,280680.0,356749.0,113378.0,134284.0,174011.0,225363.0,95.013,92.925,85.886,86.775,12718684.0,10781612.0,1129.48,1132.93,93.2,92.9,2.03,1.79,13607659.0,12810824.0,640.6666666666666,45.081407845511386,-18.446617590310442,36.11016103748042,-4.669887278582929,0,0,11,12,-1.1589403973509937
2017-12-01,627,243,597,842,446,787,71.74,110.646,101.106,287311,133098,178936,87.858,88.909,12849288,1085.95,93.5,2.1,592.0,621.0,217.0,231.0,604.0,627.0,791.0,926.0,396.0,454.0,845.0,844.0,63.41,61.05,109.846,114.672,101.106,101.106,382034.0,280680.0,141073.0,113378.0,234619.0,174011.0,90.531,95.013,90.153,85.886,10372517.0,12718684.0,1102.82,1129.48,93.4,93.2,2.15,2.03,10781612.0,10974531.0,609.3333333333334,15.695009822658104,23.878206225162124,-24.79439002811268,5.912162162162171,0,0,12,1,18.257956448911216
2018-01-01,705,234,706,868,454,856,75.78,110.727,100.603,322408,113064,189638,91.093,90.064,15159024,1066.54,93.7,2.19,627.0,592.0,243.0,217.0,597.0,604.0,842.0,791.0,446.0,396.0,787.0,845.0,71.74,63.41,110.646,109.846,101.106,101.106,287311.0,382034.0,133098.0,141073.0,178936.0,234619.0,87.858,90.531,88.909,90.153,12849288.0,10372517.0,1085.95,1102.82,93.5,93.4,2.1,2.15,12718684.0,9898773.0,635.6666666666666,61.01092798288956,17.97559522364196,12.21568265746873,12.440191387559807,0,0,1,2,-6.090651558073656
2018-02-01,675,245,663,809,455,802,77.65,109.786,100.603,276938,106035,163094,95.553,96.555,12926860,1080.7,94.0,2.28,705.0,627.0,234.0,243.0,706.0,597.0,868.0,842.0,454.0,446.0,856.0,787.0,75.78,71.74,110.727,110.646,100.603,101.106,322408.0,287311.0,113064.0,133098.0,189638.0,178936.0,91.093,87.858,90.064,88.909,15159024.0,12849288.0,1066.54,1085.95,93.7,93.5,2.19,2.1,10372517.0,13607659.0,655.3333333333334,54.9029446690552,-14.724984933066931,-14.10324805836084,-4.255319148936165,0,0,2,3,7.088989441930615
2018-03-01,712,243,710,828,404,874,71.32,106.879,101.005,363464,140079,221120,89.472,93.354,12265129,1071.21,94.2,2.27,675.0,705.0,245.0,234.0,663.0,706.0,809.0,868.0,455.0,454.0,802.0,856.0,77.65,75.78,109.786,110.727,100.603,100.603,276938.0,322408.0,106035.0,113064.0,163094.0,189638.0,95.553,91.093,96.555,90.064,12926860.0,15159024.0,1080.7,1066.54,94.0,93.7,2.28,2.19,12849288.0,10781612.0,693.0,26.057628441590808,-5.119038962284728,31.24381630545465,5.481481481481487,0,0,3,4,2.5352112676056304
2018-04-01,732,244,728,810,402,806,66.33,109.132,101.005,354156,134819,216627,93.677,95.755,10237383,1068.05,94.3,2.19,712.0,675.0,243.0,245.0,710.0,663.0,828.0,809.0,404.0,455.0,874.0,802.0,71.32,77.65,106.879,109.786,101.005,100.603,363464.0,276938.0,140079.0,106035.0,221120.0,163094.0,89.472,95.553,93.354,96.555,12265129.0,12926860.0,1071.21,1080.7,94.2,94.0,2.27,2.28,15159024.0,12718684.0,700.3333333333334,33.56088993655167,-16.53261046011012,-2.560913873175885,2.8089887640449396,0,0,4,5,4.258241758241765
