date,HR_prod,HR_inv,HR_demand,CR_prod,CR_inv,CR_demand,iron_ore_price,steel_operating_rate,steel_capacity_idx,auto_prod,auto_domestic_ship,auto_export_ship,appliance_prod_idx,appliance_ship_idx,construction_order_amt,usdkrw_avg,leading_idx,gov_bond_3y_avg,HR_prod_lag1,HR_prod_lag2,HR_inv_lag1,HR_inv_lag2,HR_demand_lag1,HR_demand_lag2,CR_prod_lag1,CR_prod_lag2,CR_inv_lag1,CR_inv_lag2,CR_demand_lag1,CR_demand_lag2,iron_ore_price_lag1,iron_ore_price_lag2,steel_operating_rate_lag1,steel_operating_rate_lag2,steel_capacity_idx_lag1,steel_capacity_idx_lag2,auto_prod_lag1,auto_prod_lag2,auto_domestic_ship_lag1,auto_domestic_ship_lag2,auto_export_ship_lag1,auto_export_ship_lag2,appliance_prod_idx_lag1,appliance_prod_idx_lag2,appliance_ship_idx_lag1,appliance_ship_idx_lag2,construction_order_amt_lag1,construction_order_amt_lag2,usdkrw_avg_lag1,usdkrw_avg_lag2,leading_idx_lag1,leading_idx_lag2,gov_bond_3y_avg_lag1,gov_bond_3y_avg_lag2,construction_order_amt_lag3,construction_order_amt_lag6,HR_demand_ma3,HR_demand_std3,construction_order_amt_pct,auto_prod_pct,HR_prod_pct,covid_dummy,posco_flood_dummy,month,target_month,target
2020-03-01,3039.0,701.0,1454.0,767,553,797,88.66,105.8,100.3,369037,151478,206677,93.2,93.3,12476050,1220.23,98.6,1.09,3127.0,3293.0,697.0,713.0,1431.0,1489.0,788.0,791.0,584.0,591.0,795.0,730.0,87.63,95.22,107.7,103.8,100.4,100.3,189230.0,251578.0,82128.0,99964.0,119942.0,148546.0,76.1,89.9,89.8,89.1,12558812.0,13750684.0,1195.16,1166.68,98.7,98.4,1.25,1.37,16153618.0,16271058.0,1458.0,29.206163733020468,-0.6589954527546071,95.02034561116102,-2.8141989126958755,1,0,3,4,-12.792297111416783
2020-04-01,2803.0,778.0,1268.0,715,636,631,83.75,101.4,100.3,289532,145562,123240,88.9,91.8,10342304,1224.42,98.5,1.02,3039.0,3127.0,701.0,697.0,1454.0,1431.0,767.0,788.0,553.0,584.0,797.0,795.0,88.66,87.63,105.8,107.7,100.3,100.4,369037.0,189230.0,151478.0,82128.0,206677.0,119942.0,93.2,76.1,93.3,89.8,12476050.0,12558812.0,1220.23,1195.16,98.6,98.7,1.09,1.25,13750684.0,15020250.0,1384.3333333333333,101.40184087743835,-17.10273684379271,-21.54391023122343,-7.765712405396508,1,0,4,5,-3.7066246056782326
2020-05-01,2674.0,839.0,1221.0,625,644,616,91.33,91.3,99.9,231116,146515,95791,89.0,89.6,14780447,1230.06,98.5,0.88,2803.0,3039.0,778.0,701.0,1268.0,1454.0,715.0,767.0,636.0,553.0,631.0,797.0,83.75,88.66,101.4,105.8,100.3,100.3,289532.0,369037.0,145562.0,151478.0,123240.0,206677.0,88.9,93.2,91.8,93.3,10342304.0,12476050.0,1224.42,1220.23,98.5,98.6,1.02,1.09,12558812.0,12411473.0,1314.3333333333333,123.21661143422716,42.9125173655696,-20.176008178716,-4.602211915804499,1,0,5,6,4.176904176904173
2020-06-01,2601.0,782.0,1272.0,558,595,605,103.34,88.4,99.9,297033,176821,126677,104.0,104.9,16975416,1207.83,99.0,0.85,2674.0,2803.0,839.0,778.0,1221.0,1268.0,625.0,715.0,644.0,636.0,616.0,631.0,91.33,83.75,91.3,101.4,99.9,100.3,231116.0,289532.0,146515.0,145562.0,95791.0,123240.0,89.0,88.9,89.6,91.8,14780447.0,10342304.0,1230.06,1224.42,98.5,98.5,0.88,1.02,12476050.0,16153618.0,1253.6666666666667,28.360771028540647,14.8504913281716,28.521175513594898,-2.729992520568436,1,0,6,7,15.880503144654078
2020-07-01,3117.0,782.0,1474.0,698,565,727,108.02,91.8,99.9,345726,144712,186428,108.0,104.1,15957105,1198.86,99.6,0.83,2601.0,2674.0,782.0,839.0,1272.0,1221.0,558.0,625.0,595.0,644.0,605.0,616.0,103.34,91.33,88.4,91.3,99.9,99.9,297033.0,231116.0,176821.0,146515.0,126677.0,95791.0,104.0,89.0,104.9,89.6,16975416.0,14780447.0,1207.83,1230.06,99.0,98.5,0.85,0.88,10342304.0,13750684.0,1322.3333333333333,133.7996013945233,-5.9987395890622075,16.393128036278792,19.838523644752026,1,0,7,8,5.902306648575295
2020-08-01,3290.0,809.0,1561.0,759,557,780,120.07,95.8,99.9,233363,112142,130477,108.1,107.8,15832054,1186.26,100.4,0.83,3117.0,2601.0,782.0,782.0,1474.0,1272.0,698.0,558.0,565.0,595.0,727.0,605.0,108.02,103.34,91.8,88.4,99.9,99.9,345726.0,297033.0,144712.0,176821.0,186428.0,126677.0,108.0,104.0,104.1,104.9,15957105.0,16975416.0,1198.86,1207.83,99.6,99.0,0.83,0.85,14780447.0,12558812.0,1435.6666666666667,148.2644034599449,-0.7836697195387266,-32.50059295511475,5.550208533846646,1,0,8,9,-3.0749519538757153
2020-09-01,3145.0,769.0,1513.0,768,528,796,123.0,103.0,99.9,342494,138828,191374,108.2,108.1,14669281,1177.65,101.1,0.91,3290.0,3117.0,809.0,782.0,1561.0,1474.0,759.0,698.0,557.0,565.0,780.0,727.0,120.07,108.02,95.8,91.8,99.9,99.9,233363.0,345726.0,112142.0,144712.0,130477.0,186428.0,108.1,108.0,107.8,104.1,15832054.0,15957105.0,1186.26,1198.86,100.4,99.6,0.83,0.83,16975416.0,12476050.0,1516.0,43.5775171390016,-7.344422903054781,46.76448280147238,-4.4072948328267465,1,0,9,10,-0.396563119629878
2020-10-01,3084.0,745.0,1507.0,765,458,834,119.25,104.1,99.9,336283,135809,194893,111.5,108.9,15532675,1141.93,101.7,0.91,3145.0,3290.0,769.0,809.0,1513.0,1561.0,768.0,759.0,528.0,557.0,796.0,780.0,123.0,120.07,103.0,95.8,99.9,99.9,342494.0,233363.0,138828.0,112142.0,191374.0,130477.0,108.2,108.1,108.1,107.8,14669281.0,15832054.0,1177.65,1186.26,101.1,100.4,0.91,0.83,15957105.0,10342304.0,1527.0,29.597297173897115,5.88572814168602,-1.813462425619139,-1.9395866454689936,1,0,10,11,2.3224950232249464
2020-11-01,3127.0,730.0,1542.0,749,415,791,123.52,103.8,99.8,324476,143884,187882,108.1,107.4,17007529,1115.2,102.4,0.97,3084.0,3145.0,745.0,769.0,1507.0,1513.0,765.0,768.0,458.0,528.0,834.0,796.0,119.25,123.0,104.1,103.0,99.9,99.9,336283.0,342494.0,135809.0,138828.0,194893.0,191374.0,111.5,108.2,108.9,108.1,15532675.0,14669281.0,1141.93,1177.65,101.7,101.1,0.91,0.91,15832054.0,14780447.0,1520.6666666666667,18.71719352182133,9.495170664421938,-3.5110308876749596,1.3942931258106306,1,0,11,12,-2.4643320363164745
2020-12-01,3324.0,790.0,1504.0,737,462,689,153.07,104.3,99.8,296906,133375,174756,114.3,107.7,16321842,1094.5,103.0,0.97,3127.0,3084.0,730.0,745.0,1542.0,1507.0,749.0,765.0,415.0,458.0,791.0,834.0,123.52,119.25,103.8,104.1,99.8,99.9,324476.0,336283.0,143884.0,135809.0,187882.0,194893.0,108.1,111.5,107.4,108.9,17007529.0,15532675.0,1115.2,1141.93,102.4,101.7,0.97,0.91,14669281.0,16975416.0,1517.6666666666667,21.126602503320562,-4.031667386837912,-8.496776340931223,6.299968020466906,1,0,12,1,5.518617021276606
