feature,display_name,importance
CR_demand,최근 수요량,0.1094893246118128
month,월(계절성),0.108630403149512
CR_demand_ma3,최근 3개월 평균 수요량,0.1047911025199298
G_demand,아연도강판 수요량,0.1040562126388795
target_month,예측 대상 월,0.0973819646634467
auto_domestic_ship_lag1,자동차 내수 출하량(1개월 전),0.0847751238545356
G_demand_lag2,아연도강판 수요량(2개월 전),0.0716314691050818
auto_prod_pct,자동차 생산량 증감률,0.0634736666163371
CR_prod_lag2,냉연강판 생산량(2개월 전),0.0565236215621727
CR_prod_lag1,냉연강판 생산량(1개월 전),0.0505749312056532
appliance_ship_idx,가전 출하지수,0.0415910996318425
construction_order_amt_lag6,건설수주액(6개월 전),0.0386905916964701
construction_order_amt_pct,건설수주액 증감률,0.0383187382254504
CR_demand_std3,최근 3개월 수요 변동성,0.030071750518875
