feature,display_name,importance
CR_demand,냉연강판 수요량,0.1846039041819202
HR_demand,열연강판 수요량,0.1449296653495811
HR_prod,열연강판 생산량,0.1199220217461015
CR_prod,냉연강판 생산량,0.111884045667165
HR_prod_lag1,열연강판 생산량(1개월 전),0.0588268778231175
construction_order_amt_lag2,건설수주액(2개월 전),0.0489227538650464
construction_order_amt,건설수주액,0.0459364926867117
HR_demand_lag1,열연강판 수요량(1개월 전),0.0459105367288955
HR_demand_std3,열연강판 3개월 수요 변동성,0.0445221360777318
appliance_prod_idx,가전 생산지수,0.0420622638716676
month,월(계절성),0.0410568106301244
HR_prod_lag2,열연강판 생산량(2개월 전),0.0376963957553903
auto_export_ship_lag1,자동차 수출 출하량(1개월 전),0.0373848176969378
auto_domestic_ship_lag2,자동차 내수 출하량(2개월 전),0.0363412779196084
